category,name,details
Vanity,30" White Shaker,Standard height
Vanity,36" White Shaker,Standard height
Vanity,48" White Shaker,Standard height
Vanity,36" Gray Flat Panel,Comfort height
Vanity,48" Gray Flat Panel,Comfort height
Vanity,60" Gray Flat Panel,Comfort height
Vanity,48" Espresso Raised Panel,Comfort height
Vanity,60" Espresso Raised Panel,Comfort height
Countertop,White Quartz - 2cm,Standard thickness
Countertop,White Quartz - 3cm,Premium thickness
Countertop,Gray Quartz - 2cm,Standard thickness
Countertop,Gray Quartz - 3cm,Premium thickness
Countertop,Black Granite - 3cm,Premium thickness
Countertop,Carrara Marble - 2cm,Standard thickness
Sink,White Undermount Rectangle,Client provides
Sink,White Undermount Oval,Client provides
Sink,Biscuit Undermount Rectangle,Client provides
Sink,White Vessel Round,Builder provides
Sink,Black Vessel Square,Builder provides
Faucet,Chrome Single Handle,Builder provides
Faucet,Chrome Widespread,Builder provides
Faucet,Brushed Nickel Single Handle,Builder provides
Faucet,Brushed Nickel Widespread,Builder provides
Faucet,Matte Black Single Handle,Client provides
Backsplash,4" Standard White,Matches countertop
Backsplash,4" Standard Gray,Matches countertop
Backsplash,Full Height White Subway,Tile to ceiling
Backsplash,Full Height Gray Subway,Tile to ceiling
Backsplash,No Backsplash,Client to arrange separately
